symbol,side,entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,qty,pnl_quote,pnl_pct,exit_reason,bars_held
BTC/USDT,long,3618,3623,2025-06-03 22:30:00,2025-06-03 23:45:00,105776.151,105209.38325209203,0.0018907853812907222,-1.2312075178625264,-0.061560375893126316,stop,5
BTC/USDT,short,6274,6276,2025-07-01 14:30:00,2025-07-01 15:00:00,106465.60261999999,105981.62258609998,0.0018785410036502173,0.7495400091646365,0.037477000458231824,stop,2
BTC/USDT,short,6893,6896,2025-07-08 01:15:00,2025-07-08 02:00:00,108087.3782,107532.41861957064,0.001850354808587632,0.8672828770705361,0.043364143853526806,take_profit,3
BTC/USDT,short,7619,7621,2025-07-15 14:45:00,2025-07-15 15:15:00,116936.70798,116120.56977005998,0.0017103269234687753,1.2364214989935232,0.06182107494967616,stop,2
BTC/USDT,long,13725,13727,2025-09-17 05:15:00,2025-09-17 05:45:00,116533.302,117058.48074866435,0.0017162476010505565,0.7409762328109318,0.03704881164054659,take_profit,2
BTC/USDT,short,17126,17149,2025-10-22 15:30:00,2025-10-22 21:15:00,107831.9293,106929.1455528,0.0018547382143518784,1.5150972862337353,0.07575486431168676,stop,23
BTC/USDT,long,17600,17601,2025-10-27 14:00:00,2025-10-27 14:15:00,115233.34206,114557.7203019609,0.001735608778020718,-1.3321460078528928,-0.06660730039264465,stop,1
BTC/USDT,short,17791,17794,2025-10-29 13:45:00,2025-10-29 14:30:00,112941.50718000002,112549.87787448,0.0017708281480718236,0.5337856011038051,0.026689280055190258,stop,3
BTC/USDT,short,22102,22113,2025-12-13 11:30:00,2025-12-13 14:15:00,90388.71864,90121.04984049645,0.0022126655074795293,0.4324984246980189,0.021624921234900944,take_profit,11
BTC/USDT,long,22784,22831,2025-12-20 14:00:00,2025-12-21 01:45:00,88248.54617999999,87949.28007492152,0.002266326287030965,-0.8379633469003966,-0.04189816734501983,stop,47
BTC/USDT,long,24035,24037,2026-01-02 14:45:00,2026-01-02 15:15:00,89374.3713,89541.70077746002,0.002237777979200174,0.21429644144313603,0.010714822072156802,stop,2
BTC/USDT,long,24039,24043,2026-01-02 15:45:00,2026-01-02 16:45:00,89728.9422,90590.53436878,0.002228935225316854,1.759664961596946,0.0879832480798473,stop,4
BTC/USDT,short,25553,25569,2026-01-18 10:15:00,2026-01-18 14:15:00,95082.77964000001,95260.14415809487,0.0021034303031236034,-0.5332231316204799,-0.02666115658102399,stop,16
BTC/USDT,short,26445,26448,2026-01-27 17:15:00,2026-01-27 18:00:00,87954.10566,87544.70163924,0.002273913178915496,0.7713215779864906,0.03856607889932453,stop,3
BTC/USDT,short,26726,26738,2026-01-30 15:30:00,2026-01-30 18:30:00,82570.38261999999,82093.91149919998,0.002422176010984797,0.9945585574963105,0.049727927874815524,stop,12
BTC/USDT,short,27875,27877,2026-02-11 14:45:00,2026-02-11 15:15:00,67185.96011999999,65928.83863109999,0.0029768124120393984,3.583711737539598,0.17918558687697989,stop,2
BTC/USDT,short,28553,28562,2026-02-18 16:15:00,2026-02-18 18:30:00,67024.29246,66813.96252047998,0.0029839927086042677,0.4678740551312748,0.023393702756563738,stop,9
BTC/USDT,short,29509,29510,2026-02-28 15:15:00,2026-02-28 15:30:00,64180.161400000005,65002.62611534586,0.0031162277507142573,-2.7240125648920404,-0.13620062824460202,stop,1
BTC/USDT,long,30467,30469,2026-03-10 14:45:00,2026-03-10 15:15:00,70424.082,71518.54912886,0.002839937622474085,2.9469750884604036,0.14734875442302017,stop,2
BTC/USDT,short,32141,32161,2026-03-28 01:15:00,2026-03-28 06:15:00,66102.47686,66468.58208212546,0.0030256052344844013,-1.2681329523854552,-0.06340664761927275,stop,20
BTC/USDT,long,32388,32395,2026-03-30 15:00:00,2026-03-30 16:45:00,67776.35256,67180.10302151981,0.002950881722691511,-1.9187580805183293,-0.09593790402591647,stop,7
ETH/USDT,short,5951,5959,2025-06-28 05:45:00,2025-06-28 07:45:00,2417.5164,2428.364411117886,0.08272953184516142,-1.0578098615863099,-0.052890493079315495,stop,8
ETH/USDT,short,10880,10888,2025-08-18 14:00:00,2025-08-18 16:00:00,4284.34296,4352.260389655333,0.04668160365947921,-3.3317627305539044,-0.16658813652769522,stop,8
ETH/USDT,short,15970,15972,2025-10-10 14:30:00,2025-10-10 15:00:00,4323.675092,4268.211538410847,0.04625694478524891,2.4066007657815303,0.12033003828907651,take_profit,2
ETH/USDT,short,17020,17024,2025-10-21 13:00:00,2025-10-21 14:00:00,3878.114222,3862.522950119999,0.05157145678315196,0.644386229795422,0.0322193114897711,stop,4
ETH/USDT,short,18376,18378,2025-11-04 16:00:00,2025-11-04 16:30:00,3505.288802,3465.9778169519996,0.05705663963719244,2.08384988874989,0.1041924944374945,stop,2
ETH/USDT,short,20017,20026,2025-11-21 18:15:00,2025-11-21 20:30:00,2728.374216,2716.8076728839997,0.07330372748252068,0.6882098727799224,0.03441049363899612,stop,9
ETH/USDT,short,22399,22401,2025-12-16 13:45:00,2025-12-16 14:15:00,2930.643754,2894.695203276,0.06824439160407075,2.2942682879967498,0.11471341439983748,stop,2
ETH/USDT,short,24655,24684,2026-01-09 01:45:00,2026-01-09 09:00:00,3097.190438,3075.8130395999997,0.06457465370749023,1.2209902740866205,0.061049513704331024,stop,29
ETH/USDT,long,26511,26513,2026-01-28 09:45:00,2026-01-28 10:15:00,3009.681816,3020.305818,0.066452207318649,0.5457059881043598,0.02728529940521799,stop,2
ETH/USDT,short,27876,27878,2026-02-11 15:00:00,2026-02-11 15:30:00,1941.921538,1913.9061046799998,0.10299077284347005,2.7264852616232,0.13632426308116,stop,2
ETH/USDT,short,28010,28022,2026-02-13 00:30:00,2026-02-13 03:30:00,1933.8731480000001,1956.7100878082092,0.10341939966788348,-2.52272731825866,-0.126136365912933,stop,12
ETH/USDT,short,28451,28453,2026-02-17 14:45:00,2026-02-17 15:15:00,1960.367848,1952.2283675999997,0.10202166914951362,0.6707355377683553,0.03353677688841776,stop,2
SOL/USDT,long,4824,4828,2025-06-16 12:00:00,2025-06-16 13:00:00,156.42127799999997,154.9804820129457,1.278598426999171,-2.0014626028812232,-0.10007313014406116,stop,4
SOL/USDT,short,5821,5823,2025-06-26 21:15:00,2025-06-26 21:45:00,141.451704,139.64552351999998,1.4139101498558122,2.3947984239087328,0.11973992119543664,stop,2
SOL/USDT,short,5863,5867,2025-06-27 07:45:00,2025-06-27 08:45:00,140.541886,141.86557429809798,1.423063299435159,-2.044445713809784,-0.10222228569048919,stop,4
SOL/USDT,short,7619,7621,2025-07-15 14:45:00,2025-07-15 15:15:00,159.308132,157.70313431999998,1.255428693370154,1.855766124320666,0.0927883062160333,stop,2
SOL/USDT,short,10879,10881,2025-08-18 13:45:00,2025-08-18 14:15:00,181.623668,181.02754826999998,1.1011780689287698,0.4966965467210215,0.024834827336051073,stop,2
SOL/USDT,short,13737,13746,2025-09-17 08:15:00,2025-09-17 10:30:00,235.792832,234.44798021999995,0.8482022048914531,0.981162527546262,0.0490581263773131,stop,9
SOL/USDT,long,15066,15081,2025-10-01 04:30:00,2025-10-01 08:15:00,208.99178999999998,209.91623835400003,0.9569753912342682,0.7243204555149739,0.036216022775748695,stop,15
SOL/USDT,long,17536,17538,2025-10-26 22:00:00,2025-10-26 22:30:00,198.45968399999998,199.28037595199999,1.007761354694085,0.6667308086807235,0.03333654043403618,stop,2
SOL/USDT,short,18376,18378,2025-11-04 16:00:00,2025-11-04 16:30:00,161.357722,160.27132785599997,1.2394820497032055,1.1871046668068663,0.059355233340343316,stop,2
SOL/USDT,long,21155,21156,2025-12-03 14:45:00,2025-12-03 15:00:00,143.058606,140.8560224466746,1.398028441574497,-3.238042742712145,-0.16190213713560725,stop,1
SOL/USDT,short,21445,21462,2025-12-06 15:15:00,2025-12-06 19:30:00,132.883418,132.46260722399998,1.5050786848363578,0.47360667063880696,0.023680333531940347,stop,17
SOL/USDT,short,27875,27876,2026-02-11 14:45:00,2026-02-11 15:00:00,81.063784,78.7653107697032,2.4671929945929985,5.513045362868605,0.27565226814343025,take_profit,1
SOL/USDT,short,28350,28352,2026-02-16 13:30:00,2026-02-16 14:00:00,84.913014,84.058178274,2.355351560127167,1.8542440363509047,0.09271220181754523,stop,2
SOL/USDT,long,30467,30469,2026-03-10 14:45:00,2026-03-10 15:15:00,86.67733199999999,88.296597148,2.307408354470348,3.57481140822565,0.1787405704112825,stop,2
SOL/USDT,long,30663,30697,2026-03-12 15:45:00,2026-03-13 00:15:00,86.757348,88.69988334807047,2.3052802397786527,4.31629711763723,0.2158148558818615,take_profit,34
SOL/USDT,short,31289,31291,2026-03-19 04:15:00,2026-03-19 04:45:00,90.16196400000001,89.98709382,2.21823029498337,0.22805749189761082,0.011402874594880541,stop,2
BNB/USDT,long,6182,6187,2025-06-30 15:30:00,2025-06-30 16:45:00,654.7609259999999,658.560917123386,0.30545500205979004,1.0002620059025231,0.05001310029512616,take_profit,5
BNB/USDT,short,7619,7626,2025-07-15 14:45:00,2025-07-15 16:30:00,680.6038520000001,685.9608697496349,0.29385669712606916,-1.7348252205703492,-0.08674126102851745,stop,7
BNB/USDT,long,11853,11906,2025-08-28 17:15:00,2025-08-29 06:30:00,875.555076,866.4210231467922,0.2284265210518864,-2.2456253323957642,-0.11228126661978821,stop,53
BNB/USDT,short,11977,11984,2025-08-30 00:15:00,2025-08-30 02:00:00,859.0481560000001,855.2987355419999,0.23281581900048917,0.7132735644643756,0.03566367822321878,stop,7
